"ASV","Phylum","Order","Family","Genus"
"e20080c3550b1318bbb29e84d651c014","Bacillota_I","Lactobacillales","Vagococcaceae","Vagococcus_B"
"7339301f770131bd35e653eda2ac5106","Pseudomonadota","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria"
"11f0558dca37009cbf1a6083b0b658e5","Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_732334",NA
"69cb94bc7147e79c931c6c3fe7c5c4b1","Pseudomonadota","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas"
"e6484c19c680bde0ffa16f2a1a5d36ea","Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_732334","Moellerella"
"26a2cffa78ab5014ca3ae107f236f879","Bacillota_I","Lactobacillales","Lactobacillaceae","Weissella"
"bb7e5c6df18c100b97f890fc35eb2911","Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_732334","Proteus"
"b4bb370a59f2637d406ccc0f5a1b2a1e","Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_732334","Morganella"
"d46e2205f0c6ecf67b51f83d111c509c","Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_725029","Escherichia"
"765fc6d58cc8c8dc562e579c43481745","Bacteroidota","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"04524511556ae43c41266c364d115459","Pseudomonadota","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria"
"38eaa8f3d127290bf06b9a82171c37c0","Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_732334","Proteus"
"d9495d57a18061debff45fb56226033c","Pseudomonadota","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria"
"f17aa6c7d60aa9f234c8ad6f97c17d47","Bacillota_I","Lactobacillales","Vagococcaceae","Vagococcus_B"
"5932adb8eab0a2b254165744e04ed827","Pseudomonadota","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria"
"720bbb0411edd2b97a8cc3d66e3b47e0","Bacillota_I","Lactobacillales","Vagococcaceae","Vagococcus_B"
"945184b6386c192c0066e0a98a154780","Pseudomonadota","Enterobacterales_737866","Enterobacteriaceae_A_725029",NA
"9fec7bdd6bd88e710bd69b15692e54a0","Bacillota_I","Lactobacillales","Streptococcaceae","Streptococcus"
"9e9c4270966cf507485654eb33a69880","Bacillota_I","Lactobacillales","Lactobacillaceae","Weissella"
"9908fffab7ed4f3bec44cda2f5084d49","Bacillota_I","Lactobacillales","Enterococcaceae",NA
